"","Provenance","X","TestSite","budbreak_mean_days","flowering_mean_days","year","CountyAndState","prov_lat_N","prov_long_W","Elevation_ft","comments","test_lat_N","test_long_W","NumberOfProvenances","budbreak_JD","flowering_JD","BudSet_1978_Mean","LeafFall_1978_Mean","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"11","GA-1",6,"CR",105.3,138.8,1979,"Decatur, GA",30.91666667,84.5,150,"",39.666667,80,33,"4/15/1979","5/18/1979",NA,NA,"Decatur_GA",30.91666667,-84.5,45.72,18.8,26.5,33.3,27.1,5.8,12.9,21.4,13.9,12.3,19.7,27.4,20.5,290,339,407,228,-9999,-9999,-9999,-9999,8,1,0,0,676,1350,2053,1409,536,134,2,134,24,281,863,359,81,92,92,91,0,0,0,0,196,429,529,320,59,106,123,92,60,60,66,61,7.37,-0.74,-5.53,-12.22,20,27.6,11.9,15.7,1264,618,23.7,44.6,9,5489,806,1527,356,47,335,288,0,-12.9,40,-9999,1474,380,62,-11.11,3629,4.01226267607198
"12","GA-1",38,"RD",94.5,138.8,1979,"Decatur, GA",30.91666667,84.5,150,"",39.5,79.83333,32,"4/4/1979","5/18/1979",1978-10-19,1978-11-05,"Decatur_GA",30.91666667,-84.5,45.72,18.8,26.5,33.3,27.1,5.8,12.9,21.4,13.9,12.3,19.7,27.4,20.5,290,339,407,228,-9999,-9999,-9999,-9999,8,1,0,0,676,1350,2053,1409,536,134,2,134,24,281,863,359,81,92,92,91,0,0,0,0,196,429,529,320,59,106,123,92,60,60,66,61,7.37,-0.74,-5.53,-12.22,20,27.6,11.9,15.7,1264,618,23.7,44.6,9,5489,806,1527,356,47,335,288,0,-12.9,40,-9999,1474,380,62,-11.11,3629,4.01226267607198
"13","IL-1",39,"RD",90.5,134,1979,"Williamson, IL",37.7,89.06666667,455,"",39.5,79.83333,32,"3/31/1979","5/14/1979",1978-10-07,1978-10-31,"Williamson_IL",37.7,-89.06666667,138.684,8.1,20,32,21.9,-2.3,7.3,18.6,8.2,2.9,13.7,25.3,15,244,322,285,243,-9999,-9999,-9999,-9999,98,8,0,5,112,828,1865,940,1360,488,6,419,0,87,677,149,8,64,92,64,10,0,0,0,94,322,510,245,27,39,226,53,64,61,62,59,18.86,8.97,-17.42,-3.15,14.2,26.1,2.1,24.1,1094,474,22.1,55.1,111,3743,2273,913,228,107,296,189,11,-23.8,41.7,-9999,1171,345,61,7.25,2340,5.21988849689181
"14","IL-1",7,"CR",98,135.1,1979,"Williamson, IL",37.7,89.06666667,455,"",39.666667,80,33,"4/8/1979","5/15/1979",NA,NA,"Williamson_IL",37.7,-89.06666667,138.684,8.1,20,32,21.9,-2.3,7.3,18.6,8.2,2.9,13.7,25.3,15,244,322,285,243,-9999,-9999,-9999,-9999,98,8,0,5,112,828,1865,940,1360,488,6,419,0,87,677,149,8,64,92,64,10,0,0,0,94,322,510,245,27,39,226,53,64,61,62,59,18.86,8.97,-17.42,-3.15,14.2,26.1,2.1,24.1,1094,474,22.1,55.1,111,3743,2273,913,228,107,296,189,11,-23.8,41.7,-9999,1171,345,61,7.25,2340,5.21988849689181
"15","MD-3",40,"RD",93,138.5,1979,"Anne Arundel, MD",39.03333333,76.43333333,25,"",39.5,79.83333,32,"4/3/1979","5/18/1979",1978-10-15,1978-11-01,"AnneArundel_MD",39.03333333,-76.43333333,7.62,7.5,18.5,30,20.4,-1.8,6.9,19,9.7,2.9,12.7,24.5,15,240,290,311,264,-9999,-9999,-9999,-9999,97,11,0,4,111,749,1789,934,1358,560,9,403,0,70,603,135,10,62,92,79,10,0,0,0,84,295,448,206,24,41,137,0,67,64,68,67,19.03,8.9,-6.29,4.07,13.8,25.6,2.5,23.1,1106,518,21.5,49.4,112,3584,2330,808,244,105,302,197,10,-22.6,39.5,-9999,1032,202,67,25.72,2193,5.48692998388258
"16","MD-3",8,"CR",98.6,140.5,1979,"Anne Arundel, MD",39.03333333,76.43333333,25,"",39.666667,80,33,"4/8/1979","5/20/1979",NA,NA,"AnneArundel_MD",39.03333333,-76.43333333,7.62,7.5,18.5,30,20.4,-1.8,6.9,19,9.7,2.9,12.7,24.5,15,240,290,311,264,-9999,-9999,-9999,-9999,97,11,0,4,111,749,1789,934,1358,560,9,403,0,70,603,135,10,62,92,79,10,0,0,0,84,295,448,206,24,41,137,0,67,64,68,67,19.03,8.9,-6.29,4.07,13.8,25.6,2.5,23.1,1106,518,21.5,49.4,112,3584,2330,808,244,105,302,197,10,-22.6,39.5,-9999,1032,202,67,25.72,2193,5.48692998388258
"17","MI-1",9,"CR",102.6,136.9,1979,"Kalamazoo, MI",42.35,85.35,830,"",39.666667,80,33,"4/12/1979","5/16/1979",NA,NA,"Kalamazoo_MI",42.35,-85.35,252.984,1.3,14.2,28.4,16.7,-7,2.2,15,5.2,-2.9,8.2,21.7,11,150,249,260,230,-9999,-9999,-9999,-9999,358,50,0,19,24,451,1535,624,1871,925,29,685,0,21,365,48,3,39,92,59,66,6,0,2,0,249,448,176,0,27,189,10,66,61,61,64,14.11,9.71,-12.37,4.15,9.5,22.8,-3.6,26.4,888,443,21.9,51.5,427,2635,3510,434,193,124,283,158,74,-29.2,39.1,-9999,874,226,63,15.59,1532,6.20674838794134
"18","MI-1",41,"RD",98.4,135.5,1979,"Kalamazoo, MI",42.35,85.35,830,"",39.5,79.83333,32,"4/8/1979","5/15/1979",1978-09-09,1978-10-20,"Kalamazoo_MI",42.35,-85.35,252.984,1.3,14.2,28.4,16.7,-7,2.2,15,5.2,-2.9,8.2,21.7,11,150,249,260,230,-9999,-9999,-9999,-9999,358,50,0,19,24,451,1535,624,1871,925,29,685,0,21,365,48,3,39,92,59,66,6,0,2,0,249,448,176,0,27,189,10,66,61,61,64,14.11,9.71,-12.37,4.15,9.5,22.8,-3.6,26.4,888,443,21.9,51.5,427,2635,3510,434,193,124,283,158,74,-29.2,39.1,-9999,874,226,63,15.59,1532,6.20674838794134
"19","MS-1",10,"CR",99.7,137.4,1979,"Warren, MS",32.33333333,91,300,"",39.666667,80,33,"4/9/1979","5/17/1979",NA,NA,"Warren_MS",32.33333333,-91,91.44,15.8,24.9,33.4,26,3.8,11.9,21.1,11.7,9.8,18.4,27.3,18.9,404,374,274,232,-9999,-9999,-9999,-9999,15,1,0,1,485,1233,2043,1264,737,193,2,206,10,219,853,282,59,92,92,90,1,0,0,0,165,399,533,313,50,63,259,124,62,61,65,58,23.04,6,-20.13,-11.73,18.6,27.7,9,18.7,1283,445,22.3,62.2,18,5024,1138,1363,334,65,323,258,1,-15.8,41,-9999,1410,496,62,-2.81,3240,4.24668084107849
"20","MS-1",42,"RD",90,134.4,1979,"Warren, MS",32.33333333,91,300,"",39.5,79.83333,32,"3/31/1979","5/14/1979",1978-11-07,1978-11-11,"Warren_MS",32.33333333,-91,91.44,15.8,24.9,33.4,26,3.8,11.9,21.1,11.7,9.8,18.4,27.3,18.9,404,374,274,232,-9999,-9999,-9999,-9999,15,1,0,1,485,1233,2043,1264,737,193,2,206,10,219,853,282,59,92,92,90,1,0,0,0,165,399,533,313,50,63,259,124,62,61,65,58,23.04,6,-20.13,-11.73,18.6,27.7,9,18.7,1283,445,22.3,62.2,18,5024,1138,1363,334,65,323,258,1,-15.8,41,-9999,1410,496,62,-2.81,3240,4.24668084107849
"21","MS-2",43,"RD",98.6,134,1979,"Jefferson, MS",31.66666667,91,250,"",39.5,79.83333,32,"4/8/1979","5/14/1979",1978-11-10,1978-11-05,"Jefferson_MS",31.66666667,-91,76.2,17.1,25.4,33.3,26.4,4.6,11.9,20.8,12.2,10.8,18.6,27,19.3,405,388,334,244,-9999,-9999,-9999,-9999,12,1,0,1,559,1254,2023,1301,654,173,2,184,14,220,833,298,72,92,92,91,0,0,0,0,178,410,536,320,54,60,202,115,61,60,65,58,21.12,6.49,-13.98,-10.99,19,27.5,10.2,17.3,1371,525,21.1,52.3,13,5136,1013,1365,347,57,328,271,0,-14.7,40.5,-9999,1444,431,61,2.65,3320,4.13535137215617
"22","MS-3",11,"CR",106.3,137.5,1979,"Stone, MS",30.66666667,89.16666667,175,"",39.666667,80,33,"4/16/1979","5/17/1979",NA,NA,"Stone_MS",30.66666667,-89.16666667,53.34,18.6,25.9,32.9,26.6,5.7,12.9,21.2,13.4,12.2,19.4,27.1,20,379,415,472,316,-9999,-9999,-9999,-9999,8,1,0,0,661,1319,2025,1362,545,144,2,148,23,259,835,325,81,92,92,91,0,0,0,0,196,415,523,320,60,48,59,44,60,62,67,61,16.52,8.91,2.08,-2.84,19.6,27.4,11.6,15.8,1582,743,18.7,36.8,9,5367,840,1443,356,48,333,285,0,-13.1,39.8,-9999,1454,211,62,24.67,3520,3.97172207868717
"23","NC-1",12,"CR",99.7,144.3,1979,"Buncombe, NC",35.41666667,82.5,2000,"",39.666667,80,33,"4/9/1979","5/24/1979",NA,NA,"Buncombe_NC",35.41666667,-82.5,609.6,10.7,20.1,29.1,21,-1.8,5.6,15.9,6.8,4.4,12.9,22.5,13.9,273,284,336,231,-9999,-9999,-9999,-9999,65,8,0,5,163,750,1611,835,1219,531,19,467,0,53,426,90,10,61,92,62,5,0,0,0,121,345,483,250,36,92,147,40,58,56,62,57,18.49,2.77,-7.59,-3.77,13.4,23.2,4.1,19.1,1124,506,20.8,45.8,77,3358,2236,569,225,112,290,178,5,-23.6,37.4,-9999,1199,315,58,9.9,1914,4.78759545026938
"24","NC-1",44,"RD",92.9,141.7,1979,"Buncombe, NC",35.41666667,82.5,2000,"",39.5,79.83333,32,"4/2/1979","5/21/1979",1978-10-04,1978-10-30,"Buncombe_NC",35.41666667,-82.5,609.6,10.7,20.1,29.1,21,-1.8,5.6,15.9,6.8,4.4,12.9,22.5,13.9,273,284,336,231,-9999,-9999,-9999,-9999,65,8,0,5,163,750,1611,835,1219,531,19,467,0,53,426,90,10,61,92,62,5,0,0,0,121,345,483,250,36,92,147,40,58,56,62,57,18.49,2.77,-7.59,-3.77,13.4,23.2,4.1,19.1,1124,506,20.8,45.8,77,3358,2236,569,225,112,290,178,5,-23.6,37.4,-9999,1199,315,58,9.9,1914,4.78759545026938
"25","NY-1",45,"RD",96.2,137.4,1979,"Cortland, NY",43,76.08333333,1600,"",39.5,79.83333,32,"4/6/1979","5/17/1979",1978-09-04,1978-10-11,"Cortland_NY",43,-76.08333333,487.68,-0.7,10.6,24.5,14.2,-10.1,-0.2,12.5,3.6,-5.4,5.2,18.5,8.9,211,251,271,269,-9999,-9999,-9999,-9999,546,107,0,30,13,285,1241,467,2098,1187,108,849,0,8,155,19,1,32,92,48,158,45,0,5,0,174,388,153,0,16,117,0,61,63,64,65,21,14.5,-3.39,11.75,6.8,19.6,-6.1,25.8,1002,454,16.8,43.3,683,2007,4243,182,173,135,275,140,208,-32.9,35.7,-9999,715,133,63,43.86,1048,6.35846334205595
"26","NY-1",13,"CR",98.9,138.6,1979,"Cortland, NY",43,76.08333333,1600,"",39.666667,80,33,"4/8/1979","5/18/1979",NA,NA,"Cortland_NY",43,-76.08333333,487.68,-0.7,10.6,24.5,14.2,-10.1,-0.2,12.5,3.6,-5.4,5.2,18.5,8.9,211,251,271,269,-9999,-9999,-9999,-9999,546,107,0,30,13,285,1241,467,2098,1187,108,849,0,8,155,19,1,32,92,48,158,45,0,5,0,174,388,153,0,16,117,0,61,63,64,65,21,14.5,-3.39,11.75,6.8,19.6,-6.1,25.8,1002,454,16.8,43.3,683,2007,4243,182,173,135,275,140,208,-32.9,35.7,-9999,715,133,63,43.86,1048,6.35846334205595
"27","OH-1",14,"CR",105.5,140.7,1979,"Wayne, OH",40.76666667,81.91666667,1100,"",39.666667,80,33,"4/15/1979","5/20/1979",NA,NA,"Wayne_OH",40.76666667,-81.91666667,335.28,3.2,15.2,28.1,17.6,-5.5,3.2,15.1,5.7,-1.2,9.2,21.6,11.7,182,255,280,190,-9999,-9999,-9999,-9999,253,32,0,14,38,500,1523,668,1719,834,30,632,0,24,353,57,5,46,92,60,45,2,0,1,0,262,448,191,0,35,166,33,66,61,62,63,16.33,8.99,-9.59,-1.32,10.3,22.5,-1.6,24.1,907,449,22.4,50.1,299,2730,3214,435,203,122,285,164,48,-27.6,38.1,-9999,900,234,63,14.41,1570,5.85244218815466
"28","OH-1",46,"RD",102.9,141,1979,"Wayne, OH",40.76666667,81.91666667,1100,"",39.5,79.83333,32,"4/12/1979","5/21/1979",1978-09-14,1978-10-19,"Wayne_OH",40.76666667,-81.91666667,335.28,3.2,15.2,28.1,17.6,-5.5,3.2,15.1,5.7,-1.2,9.2,21.6,11.7,182,255,280,190,-9999,-9999,-9999,-9999,253,32,0,14,38,500,1523,668,1719,834,30,632,0,24,353,57,5,46,92,60,45,2,0,1,0,262,448,191,0,35,166,33,66,61,62,63,16.33,8.99,-9.59,-1.32,10.3,22.5,-1.6,24.1,907,449,22.4,50.1,299,2730,3214,435,203,122,285,164,48,-27.6,38.1,-9999,900,234,63,14.41,1570,5.85244218815466
"29","PA-1",15,"CR",104.3,140.3,1979,"Warren, PA",41.83333333,79.25,1200,"",39.666667,80,33,"4/14/1979","5/20/1979",NA,NA,"Warren_PA",41.83333333,-79.25,365.76,2.1,13.9,27.2,16.8,-7.9,0.4,12.4,3.7,-2.9,7.1,19.8,10.2,229,289,297,260,-9999,-9999,-9999,-9999,361,61,0,20,23,381,1361,561,1875,1015,63,735,0,13,233,32,3,32,92,48,104,14,0,2,0,255,452,185,0,24,156,8,61,56,57,59,21.89,13.87,-8.33,6.24,8.6,20.8,-3.5,24.3,1075,491,17.3,42.3,441,2326,3689,278,174,134,275,141,120,-30.3,37.4,-9999,892,188,58,33.67,1272,6.08882897589663
"30","PA-1",47,"RD",99.3,139.6,1979,"Warren, PA",41.83333333,79.25,1200,"",39.5,79.83333,32,"4/9/1979","5/19/1979",1978-09-14,1978-10-23,"Warren_PA",41.83333333,-79.25,365.76,2.1,13.9,27.2,16.8,-7.9,0.4,12.4,3.7,-2.9,7.1,19.8,10.2,229,289,297,260,-9999,-9999,-9999,-9999,361,61,0,20,23,381,1361,561,1875,1015,63,735,0,13,233,32,3,32,92,48,104,14,0,2,0,255,452,185,0,24,156,8,61,56,57,59,21.89,13.87,-8.33,6.24,8.6,20.8,-3.5,24.3,1075,491,17.3,42.3,441,2326,3689,278,174,134,275,141,120,-30.3,37.4,-9999,892,188,58,33.67,1272,6.08882897589663
"31","PA-2",48,"RD",98.4,136.5,1979,"Potter, PA",41.66666667,78,1813,"elevation evaluated from USGS point query service",39.5,79.83333,32,"4/8/1979","5/16/1979",1978-09-15,1978-10-19,"Potter_PA",41.66666667,-78,552.6024,1.1,13.6,26.3,15.8,-8.8,0,11.7,3.1,-3.8,6.8,19,9.4,198,277,295,244,-9999,-9999,-9999,-9999,424,69,0,26,19,364,1290,507,1956,1046,86,800,0,12,183,24,2,31,92,43,113,18,0,3,0,253,439,178,0,28,144,8,61,56,57,59,19.26,12.67,-7.07,5.91,7.9,19.9,-4.2,24.1,1014,481,17.6,41.4,519,2180,3888,218,168,136,272,136,135,-31.5,36.5,-9999,871,180,58,30.77,1158,6.05127790068265
"32","PA-2",16,"CR",100.4,139.3,1979,"Potter, PA",41.66666667,78,1813,"elevation evaluated from USGS point query service",39.666667,80,33,"4/10/1979","5/19/1979",NA,NA,"Potter_PA",41.66666667,-78,552.6024,1.1,13.6,26.3,15.8,-8.8,0,11.7,3.1,-3.8,6.8,19,9.4,198,277,295,244,-9999,-9999,-9999,-9999,424,69,0,26,19,364,1290,507,1956,1046,86,800,0,12,183,24,2,31,92,43,113,18,0,3,0,253,439,178,0,28,144,8,61,56,57,59,19.26,12.67,-7.07,5.91,7.9,19.9,-4.2,24.1,1014,481,17.6,41.4,519,2180,3888,218,168,136,272,136,135,-31.5,36.5,-9999,871,180,58,30.77,1158,6.05127790068265
"33","PA-3",49,"RD",102.7,137.6,1979,"McKean, PA",41.76666667,78.81666667,2095,"elevation evaluated from USGS point query service",39.5,79.83333,32,"4/12/1979","5/17/1979",1978-08-27,1978-10-16,"McKean_PA",41.76666667,-78.81666667,638.556,0.8,12.8,25.4,15.1,-9,-0.2,11.2,2.7,-4.1,6.3,18.3,8.9,246,311,310,259,-9999,-9999,-9999,-9999,447,76,0,29,17,333,1225,468,1984,1090,113,845,0,9,143,19,2,31,92,39,150,26,0,5,0,200,423,172,0,8,113,0,61,57,58,60,24.23,17.33,-3.61,8.53,7.3,19.3,-4.6,23.8,1127,515,15.4,37.4,552,2043,4031,170,164,138,270,132,181,-31.8,35.6,-9999,796,121,59,46.48,1051,6.07378045644013
"34","PA-3",17,"CR",106.9,139,1979,"McKean, PA",41.76666667,78.81666667,2095,"elevation evaluated from USGS point query service",39.666667,80,33,"4/16/1979","5/19/1979",NA,NA,"McKean_PA",41.76666667,-78.81666667,638.556,0.8,12.8,25.4,15.1,-9,-0.2,11.2,2.7,-4.1,6.3,18.3,8.9,246,311,310,259,-9999,-9999,-9999,-9999,447,76,0,29,17,333,1225,468,1984,1090,113,845,0,9,143,19,2,31,92,39,150,26,0,5,0,200,423,172,0,8,113,0,61,57,58,60,24.23,17.33,-3.61,8.53,7.3,19.3,-4.6,23.8,1127,515,15.4,37.4,552,2043,4031,170,164,138,270,132,181,-31.8,35.6,-9999,796,121,59,46.48,1051,6.07378045644013
"35","PA-4",18,"CR",104.6,139,1979,"Centre, PA",40.85,77.83333333,1400,"",39.666667,80,33,"4/14/1979","5/19/1979",NA,NA,"Centre_PA",40.85,-77.83333333,426.72,2.9,15,27.5,17,-6.1,2.7,14.4,5.2,-1.6,8.8,21,11.1,196,276,276,224,-9999,-9999,-9999,-9999,279,38,0,15,34,482,1467,620,1761,867,39,671,0,23,310,43,4,43,92,58,58,4,0,1,0,262,441,185,0,28,166,22,65,60,62,63,18,11.06,-9.32,3.03,9.8,22,-2,24,972,450,20.4,48.9,332,2603,3337,376,197,124,282,158,63,-28.4,37.5,-9999,888,216,62,22.77,1469,5.8705807230971
