"","SourceNumber","StateOrProvince","Latitude_degrees","Longitude_degrees","Elevation_ft","Height_3yr_cm","Diam_3yr_mm","growthInitiation","PercentWinterDamage","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"21",2977,"Maine",44.8,68.6,250,40,5.9,3.67,36.1,"Maine",44.8,-68.6,76.2,-1.3,11.1,24.8,14,-12,-0.6,12.1,3,-6.6,5.2,18.4,8.5,248,223,232,294,-9999,-9999,-9999,-9999,641,96,0,31,6,275,1238,437,2210,1184,112,877,0,7,156,13,1,30,92,44,210,32,0,7,0,175,391,145,0,28,160,0,56,60,62,64,24.79,11.69,-7.11,15.17,6.4,19.9,-7.6,27.5,997,399,16.4,49.8,768,1956,4384,176,167,139,272,133,250,-34.9,36.3,-9999,711,188,61,44.54,1013,6.79984516816666
"22",2978,"Michigan",46.7,87.9,1675,41.1,6.1,3.44,17,"Michigan",46.7,-87.9,510.54,-3.9,10,24.3,11.9,-13.7,-3.3,10.1,1.4,-8.8,3.3,17.2,6.7,133,210,281,245,-9999,-9999,-9999,-9999,810,180,0,79,3,221,1125,359,2403,1350,168,1039,0,5,95,10,1,20,92,36,126,60,0,28,0,172,391,113,0,23,110,0,59,54,58,65,13.31,10.7,-4.04,11.84,4.6,18.4,-10.1,28.5,868,464,16.8,39.7,1070,1707,4960,109,149,148,267,119,215,-36.7,36,-9999,675,133,59,31.81,845,7.30414449170325
"23",2979,"Pennsylvania",41.3,76.3,2300,53.9,6.4,2.86,31,"Pennsylvania",41.3,-76.3,701.04,-0.7,11.6,23.9,13.9,-9.4,0.6,13.2,4,-5,6.1,18.6,8.9,240,316,342,295,-9999,-9999,-9999,-9999,518,80,0,30,17,329,1249,475,2066,1104,104,841,0,10,159,20,2,33,92,53,171,28,0,6,0,182,374,155,0,0,32,0,64,63,68,68,23.89,19.74,5.38,14.79,7.2,19.8,-5.7,25.5,1193,562,14.4,35.2,628,2070,4116,189,180,132,277,146,205,-32.2,34.7,-9999,710,32,66,63.81,1075,5.96947940236539
"24",2980,"New York",49.2,74.9,1620,52.8,6.3,3.78,13.4,"New York",49.2,-74.9,493.776,-10.8,4.8,20.5,7.3,-22.3,-7.5,8.8,-1,-16.5,-1.3,14.6,3.1,186,175,338,280,-9999,-9999,-9999,-9999,1492,382,0,172,0,97,887,196,3098,1779,331,1354,0,4,29,3,0,2,92,30,186,100,1,96,0,84,321,81,0,9,3,0,50,55,64,70,18.63,12.58,9.81,20.7,0,16.2,-18.5,34.7,979,533,10.2,30.3,2046,1180,6562,36,124,156,258,102,383,-44.6,33.3,-9999,485,12,60,61.71,496,8.04025084753835
"25",2982,"Vermont",44.7,72.6,1250,54.7,6.8,2.88,30.2,"Vermont",44.7,-72.6,381,-3.4,10.1,24.2,13,-14.9,-2.2,11,1.5,-9.1,4,17.6,7.3,239,257,335,291,-9999,-9999,-9999,-9999,833,151,0,54,5,246,1159,377,2431,1298,147,987,0,8,109,10,0,28,92,34,228,73,0,19,0,172,391,143,0,14,56,0,53,58,60,62,23.91,15.7,2.69,15.48,4.9,18.8,-10.3,29.2,1122,526,13.3,35.8,1038,1788,4862,128,154,143,267,124,320,-37.9,35.8,-9999,706,70,58,57.77,898,6.77444924699454
"26",2983,"Illinois",41.9,89.4,680,42.4,5.6,3.75,28,"Illinois",41.9,-89.4,207.264,0.5,15.3,28.7,17.5,-8.9,3.2,15.9,5.3,-4.2,9.3,22.3,11.4,116,238,278,197,-9999,-9999,-9999,-9999,457,41,0,20,20,535,1589,665,1995,829,22,659,0,34,405,59,2,51,92,60,70,3,0,1,0,261,447,186,0,37,169,12,62,61,63,62,11.12,6.88,-10.35,-0.17,9.7,23.3,-5.7,29,828,455,23.8,51.2,518,2809,3505,498,205,120,285,166,74,-31.9,40.1,-9999,893,218,62,7.48,1657,6.10391518474205
"27",2985,"New Hampshire",44,71.4,1900,44.1,5.5,3.22,18.4,"New Hampshire",44,-71.4,579.12,-2.6,9.2,22.9,12.3,-13.9,-2.7,10,1,-8.3,3.3,16.4,6.6,306,324,337,351,-9999,-9999,-9999,-9999,766,159,0,59,5,199,1052,332,2355,1359,213,1040,0,4,66,7,0,21,92,32,284,110,0,31,0,165,375,140,0,0,38,0,53,59,61,63,30.63,23.23,4.83,22.42,4.5,17.7,-9.2,26.9,1318,561,11,31.5,984,1589,4967,77,146,146,264,118,425,-37.4,34.2,-9999,680,38,59,81.11,748,6.59964085285875
"28",2986,"New Hampshire",43.5,71.4,1300,52.4,6.6,3.71,23.2,"New Hampshire",43.5,-71.4,396.24,-0.2,11.9,25.2,14.4,-10.5,0,12.4,3.5,-5.4,5.9,18.8,8.9,277,279,278,302,-9999,-9999,-9999,-9999,545,80,0,28,12,314,1270,468,2098,1122,96,841,0,10,172,18,1,31,92,48,207,28,0,6,0,184,400,152,0,15,123,0,58,60,62,65,27.62,15.9,-4.19,15.1,7.1,20,-6.4,26.4,1136,468,15,42.8,653,2064,4157,200,172,136,274,139,241,-33.5,36.1,-9999,736,138,61,54.44,1085,6.4778370587396
"29",2987,"Michigan",47,88.7,1250,45.6,6.1,3.62,6.7,"Michigan",47,-88.7,381,-4.1,9,23.3,11.6,-12.5,-2.6,11.2,2.4,-8.3,3.2,17.3,7,178,193,267,229,-9999,-9999,-9999,-9999,767,179,0,68,3,209,1130,372,2356,1358,167,1011,0,4,99,10,1,24,92,45,164,55,0,22,0,158,362,106,0,16,95,0,64,59,63,69,17.85,10.31,-1.61,11.2,4.8,18.5,-9.5,28,868,441,17,41.9,1015,1714,4893,113,161,144,271,128,241,-35.1,35.2,-9999,625,111,64,37.75,850,7.38782392682592
"30",2996,"New York",42.5,74.2,2100,54,6.5,3.44,17.5,"New York",42.5,-74.2,640.08,0.3,11.7,24.6,14.9,-12,-2,10.1,1.6,-5.8,4.9,17.4,8.3,211,251,259,258,-9999,-9999,-9999,-9999,580,108,0,31,12,260,1142,417,2139,1216,157,899,0,6,101,13,1,24,92,33,167,44,0,6,0,190,415,169,0,21,155,0,51,54,57,57,21.03,12.99,-7.72,8.86,6.2,18.7,-6.6,25.3,979,441,16.5,42.3,720,1830,4411,120,150,144,265,121,217,-35.3,35.3,-9999,774,176,55,35.17,896,6.24142073499718
